年月,總編號,處理單位,處理編號,年,月,日,時,分,縣市,區,村里,鄰,街道,段,巷,弄,號,公尺處,街道,段,側,附近,道路,公里,公尺處,向,車道,平交道,公里,公尺處,附近,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,警局,分局,案件類別,事故類別,GPS座標X,GPS座標
10506,10506C00020236,CR91,10506CR002225,2016,6,24,17,50,臺南市,南區,,,永成路,三,71,,,,,,,,,,,,,,,,,0,1,0,8,2,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,17,8,C000,CR00,1,2,120.19535,22.96444
10506,10506C00020455,CM91,10506CM001254,2016,6,14,8,50,臺南市,東區,,,大同路,二,,,,,生產路,,,,,,,,,,,,,0,1,0,7,1,5,50,3,1,1,4,4,5,7,1,1,10,5,5,1,16,8,C000,CM00,1,2,120.21644,22.96463
10506,,CR91,10506CR003383,2016,6,16,7,50,臺南市,南區,,,永成路,,,,,,永興三街,,,,,,,,,,,,,0,1,0,6,1,5,50,3,1,1,4,4,5,7,1,1,10,5,5,2,17,9,C000,CR00,1,2,120.19536,22.96473
10506,10506C00020055,CR91,10506CR000566,2016,6,8,13,25,臺南市,南區,,,中華南路,一,,,900,,,,,,,,,,,,,,,0,1,0,8,1,5,60,14,13,1,5,4,5,7,4,4,1,4,4,1,13,23,C000,CR00,1,2,120.20007,22.96478
10506,10506C00020205,CM91,10506CM001706,2016,6,12,17,5,臺南市,東區,,,生產路,,,,,,崇明路,,,,,,,,,,,,,0,2,0,7,1,5,30,3,1,1,4,4,5,7,1,1,5,5,5,1,17,16,C000,CM00,1,2,120.22304,22.96486
10506,10506C00020454,CM91,10506CM002283,2016,6,13,23,39,臺南市,東區,,,生產路,,,,,,崇明路,,,,,,,,,,,,,0,1,0,6,3,5,30,14,9,1,4,4,5,7,1,1,5,5,5,2,13,16,C000,CM00,1,2,120.22628,22.96492
10506,,CM91,10506CM003151,2016,6,30,8,5,臺南市,東區,,,德昌街,,26,,,,德昌街,,,,,,,,,,,,,0,1,0,8,1,5,40,3,7,1,5,4,5,7,4,4,10,5,5,2,17,8,C000,CM00,1,2,120.23733,22.96497
10506,10506C00020281,CZ91,10506CZ000852,2016,6,11,16,6,臺南市,歸仁區,許厝里,,中山路,一,319,,,,,,,,,,,,,,,,,0,1,0,6,1,5,60,3,1,1,4,4,5,7,1,1,10,5,5,2,16,4,C000,CZ00,1,2,120.30241,22.96576
10506,10506C00020610,CZ91,10506CZ002423,2016,6,17,20,16,臺南市,歸仁區,新厝里,,中正南路,一,,,,,中正一街,,,,,,,,,,,,,0,1,0,8,3,5,50,4,1,1,5,4,5,7,3,1,9,4,5,1,11,8,C000,CZ00,1,2,120.29425,22.96619
10506,10506C00020193,CM91,10506CM000547,2016,6,8,9,15,臺南市,東區,,,崇善路,,,,,,自由路,,,,,,,,,,,,,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,9,4,4,1,16,6,C000,CM00,1,2,120.23262,22.9665
10506,,CR91,10506CR003445,2016,6,23,23,40,臺南市,南區,,,新都路,,,,396,,,,,,,,,,,,,,,0,1,0,8,3,5,50,5,2,5,5,2,1,7,4,4,10,5,5,2,18,23,C000,CR00,1,2,120.19468,22.96714
10506,10506C00020067,CR91,10506CR000956,2016,6,13,8,0,臺南市,南區,,,中華西路,一,,,,,新和路,,,口,,,,,,,,,,0,1,0,6,1,5,60,4,1,1,4,4,5,7,1,1,10,5,5,2,12,6,C000,CR00,1,2,120.18387,22.96737
10506,10506C00020169,CR91,10506CR002246,2016,6,13,13,8,臺南市,南區,,,國民路,,165,,,,國民路,,,,,,,,,,,,,0,1,0,1,1,5,50,4,1,1,4,4,5,7,1,1,10,5,5,2,15,25,C000,CR00,1,2,120.21193,22.9674
10506,,CR91,10506CR003594,2016,6,17,9,45,臺南市,南區,,,西門路,一,,,,,新都路,,,,,,,,,,,,,0,2,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,15,25,C000,CR00,1,2,120.19771,22.96747
10506,,CM91,10506CM001257,2016,6,15,21,10,臺南市,東區,,,大同路,二,,,,,國民路,,,,,,,,,,,,,0,2,0,8,3,5,60,3,1,1,5,4,5,7,1,1,10,5,5,2,15,25,C000,CM00,1,2,120.2158,22.96748
10506,,CZ91,10506CZ002783,2016,6,29,13,20,臺南市,歸仁區,後市里,,民族北街,,12,,,,中山六街,,,,,,,,,,,,,0,2,0,8,1,5,40,4,1,1,5,4,5,7,4,4,10,5,5,2,16,6,C000,CZ00,1,2,120.29296,22.96753
10506,,CM91,10506CM003262,2016,6,12,14,30,臺南市,東區,,,崇善路,,25,,,,崇善路,,,,,,,,,,,,,0,1,0,6,1,5,50,3,1,1,4,4,5,7,4,4,10,5,5,2,16,6,C000,CM00,1,2,120.23545,22.96761
10506,,CM91,10506CM002016,2016,6,22,13,40,臺南市,東區,,,崇善路,,,,688,,,,,,,,,,,,,,,0,1,0,8,1,5,50,14,12,1,5,4,5,7,4,4,5,4,4,1,14,12,C000,CM00,1,2,120.23161,22.96766
10506,10506C00020220,CR91,10506CR001318,2016,6,16,17,30,臺南市,南區,,,新建路,,,,,,新建路,,,32巷口,,,,,,,,,,0,1,0,8,1,5,50,4,1,1,5,4,5,7,4,4,10,5,5,2,17,42,C000,CR00,1,2,120.18519,22.9678
10506,10506C00020265,CR91,10506CR000461,2016,6,6,12,1,臺南市,南區,,,中華南路,一,,,341-5,,,,,,,,,,,,,,,0,1,0,8,1,5,60,14,11,5,5,4,5,7,4,4,1,5,5,1,18,43,C000,CR00,1,2,120.20843,22.96791
10506,10506C00020625,CZ91,10506CZ003057,2016,6,21,7,10,臺南市,仁德區,,,中正路,二,,,,,仁義路,,,,,,,,,,,,,0,1,0,8,1,5,50,14,9,1,5,4,5,7,2,1,5,4,4,1,16,25,C000,CZ00,1,2,120.25257,22.96809
